name,url,State,Party,Served,District
"Senator Abdnor, James",https://www.congress.gov/member/james-abdnor/A000009,South Dakota,Republican,Senate: 1981-1987 House: 1973-1981,
"Representative Abercrombie, Neil",https://www.congress.gov/member/neil-abercrombie/A000014,Hawaii,Democratic,"House: 1985-1987, 1991-2011",1
"Senator Abourezk, James",https://www.congress.gov/member/james-abourezk/A000017,South Dakota,Democratic,Senate: 1973-1979 House: 1971-1973,
"Representative Abraham, Ralph Lee",https://www.congress.gov/member/ralph-abraham/A000374,Louisiana,Republican,House: 2015-2021,5
"Senator Abraham, Spencer",https://www.congress.gov/member/spencer-abraham/A000355,Michigan,Republican,Senate: 1995-2001,
"Representative Abzug, Bella S.",https://www.congress.gov/member/bella-abzug/A000018,New York,Democratic,House: 1971-1977,20
"Resident Commissioner Acevedo-Vila, Anibal",https://www.congress.gov/member/anibal-acevedo-vila/A000359,Puerto Rico,Democratic,House: 2001-2005,At Large
"Representative Ackerman, Gary L.",https://www.congress.gov/member/gary-ackerman/A000022,New York,Democratic,House: 1983-2013,5
"Representative Adams, Alma S.",https://www.congress.gov/member/alma-adams/A000370,North Carolina,Democratic,House: 2014-Present,12
"Senator Adams, Brock",https://www.congress.gov/member/brockman-adams/A000031,Washington,Democratic,Senate: 1987-1993 House: 1965-1979,
"Representative Adams, Sandy",https://www.congress.gov/member/sandy-adams/A000366,Florida,Republican,House: 2011-2013,24
"Representative Addabbo, Joseph P.",https://www.congress.gov/member/joseph-addabbo/A000052,New York,Democratic,House: 1961-1987,6
"Representative Aderholt, Robert B.",https://www.congress.gov/member/robert-aderholt/A000055,Alabama,Republican,House: 1997-Present,4
"Representative Adler, John H.",https://www.congress.gov/member/john-adler/A000364,New Jersey,Democratic,House: 2009-2011,3
"Representative Aguilar, Pete",https://www.congress.gov/member/pete-aguilar/A000371,California,Democratic,House: 2015-Present,31
"Senator Aiken, George",https://www.congress.gov/member/george-aiken/A000062,Vermont,Republican,Senate: 1941-1975,
"Senator Akaka, Daniel K.",https://www.congress.gov/member/daniel-akaka/A000069,Hawaii,Democratic,Senate: 1990-2013 House: 1977-1991,
"Representative Akin, W. Todd",https://www.congress.gov/member/w-akin/A000358,Missouri,Republican,House: 2001-2013,2
"Representative Albert, Carl",https://www.congress.gov/member/carl-albert/A000073,Oklahoma,Democratic,House: 1947-1977,3
"Representative Albosta, Donald J.",https://www.congress.gov/member/donald-albosta/A000076,Michigan,Democratic,House: 1979-1985,10
"Representative Alexander, Bill",https://www.congress.gov/member/william-alexander/A000103,Arkansas,Democratic,House: 1969-1993,1
"Senator Alexander, Lamar",https://www.congress.gov/member/lamar-alexander/A000360,Tennessee,Republican,Senate: 2003-2021,
"Representative Alexander, Rodney",https://www.congress.gov/member/rodney-alexander/A000361,Louisiana,Republican,House: 2003-2013,5
"Senator Allard, Wayne",https://www.congress.gov/member/a-allard/A000109,Colorado,Republican,Senate: 1997-2009 House: 1991-1997,
"Representative Allen, Clifford R.",https://www.congress.gov/member/clifford-allen/A000118,Tennessee,Democratic,House: 1975-1979,5
"Senator Allen, George",https://www.congress.gov/member/george-allen/A000121,Virginia,Republican,Senate: 2001-2007 House: 1991-1993,
"Senator Allen, James B.",https://www.congress.gov/member/james-allen/A000127,Alabama,Democratic,Senate: 1969-1979,
"Senator Allen, Maryon",https://www.congress.gov/member/maryon-allen/A000139,Alabama,Democratic,Senate: 1977-1979,
"Representative Allen, Rick W.",https://www.congress.gov/member/rick-allen/A000372,Georgia,Republican,House: 2015-Present,12
"Representative Allen, Thomas H.",https://www.congress.gov/member/thomas-allen/A000357,Maine,Democratic,House: 1997-2009,1
"Representative Allred, Colin Z.",https://www.congress.gov/member/colin-allred/A000376,Texas,Democratic,House: 2019-Present,32
"Representative Altmire, Jason",https://www.congress.gov/member/jason-altmire/A000362,Pennsylvania,Democratic,House: 2007-2013,4
"Representative Amash, Justin",https://www.congress.gov/member/justin-amash/A000367,Michigan,Libertarian,House: 2011-2021,3
"Representative Ambro, Jerome A.",https://www.congress.gov/member/jerome-ambro/A000170,New York,Democratic,House: 1975-1981,3
"Representative Ammerman, Joseph S.",https://www.congress.gov/member/joseph-ammerman/A000177,Pennsylvania,Democratic,House: 1977-1979,23
"Representative Amodei, Mark E.",https://www.congress.gov/member/mark-amodei/A000369,Nevada,Republican,House: 2011-Present,2
"Representative Anderson, Glenn M.",https://www.congress.gov/member/glenn-anderson/A000189,California,Democratic,House: 1969-1993,32
"Representative Anderson, John B.",https://www.congress.gov/member/john-anderson/A000195,Illinois,Republican,House: 1961-1981,16
"Senator Anderson, Wendell R.",https://www.congress.gov/member/wendell-anderson/A000202,Minnesota,Democratic,Senate: 1977-1979,
"Representative Andrews, Ike",https://www.congress.gov/member/ike-andrews/A000207,North Carolina,Democratic,House: 1973-1985,4
"Senator Andrews, Mark",https://www.congress.gov/member/mark-andrews/A000208,North Dakota,Republican,Senate: 1981-1987 House: 1963-1981,
"Representative Andrews, Michael",https://www.congress.gov/member/michael-andrews/A000209,Texas,Democratic,House: 1983-1995,25
"Representative Andrews, Robert E.",https://www.congress.gov/member/robert-andrews/A000210,New Jersey,Democratic,House: 1989-2014,1
"Representative Andrews, Thomas H.",https://www.congress.gov/member/thomas-andrews/A000211,Maine,Democratic,House: 1991-1995,1
"Representative Annunzio, Frank",https://www.congress.gov/member/frank-annunzio/A000212,Illinois,Democratic,House: 1965-1993,11
"Representative Anthony, Beryl, Jr.",https://www.congress.gov/member/beryl-anthony/A000213,Arkansas,Democratic,House: 1979-1993,4
"Representative Applegate, Douglas",https://www.congress.gov/member/douglas-applegate/A000214,Ohio,Democratic,House: 1977-1995,18
"Representative Archer, Bill",https://www.congress.gov/member/bill-archer/A000215,Texas,Republican,House: 1971-2001,7
"Representative Arcuri, Michael A.",https://www.congress.gov/member/michael-arcuri/A000363,New York,Democratic,House: 2007-2011,24
"Representative Arends, Leslie C.",https://www.congress.gov/member/leslie-arends/A000216,Illinois,Republican,House: 1935-1975,15
"Representative Armey, Richard K.",https://www.congress.gov/member/dick-armey/A000217,Texas,Republican,House: 1985-2003,26
"Representative Armstrong, Kelly",https://www.congress.gov/member/kelly-armstrong/A000377,North Dakota,Republican,House: 2019-Present,At Large
"Senator Armstrong, William L.",https://www.congress.gov/member/william-armstrong/A000219,Colorado,Republican,Senate: 1979-1991 House: 1973-1979,
"Representative Arrington, Jodey C.",https://www.congress.gov/member/jodey-arrington/A000375,Texas,Republican,House: 2017-Present,19
"Representative Ashbrook, Jean",https://www.congress.gov/member/jean-ashbrook/A000220,Ohio,Republican,House: 1981-1983,17
"Representative Ashbrook, John M.",https://www.congress.gov/member/john-ashbrook/A000221,Ohio,Republican,House: 1961-1983,17
"Senator Ashcroft, John",https://www.congress.gov/member/john-ashcroft/A000356,Missouri,Republican,Senate: 1995-2001,
"Representative Ashford, Brad",https://www.congress.gov/member/brad-ashford/A000373,Nebraska,Democratic,House: 2015-2017,2
"Representative Ashley, Thomas L.",https://www.congress.gov/member/thomas-ashley/A000222,Ohio,Democratic,House: 1955-1981,9
"Representative Aspin, Les",https://www.congress.gov/member/les-aspin/A000224,Wisconsin,Democratic,House: 1971-1995,1
"Representative Atkins, Chester G.",https://www.congress.gov/member/chester-atkins/A000226,Massachusetts,Democratic,House: 1985-1993,5
"Representative Atkinson, Eugene V.",https://www.congress.gov/member/eugene-atkinson/A000329,Pennsylvania,Democratic,House: 1979-1983,25
"Representative Auchincloss, Jake",https://www.congress.gov/member/jake-auchincloss/A000148,Massachusetts,Democratic,House: 2021-Present,4
"Representative AuCoin, Les",https://www.congress.gov/member/les-aucoin/A000337,Oregon,Democratic,House: 1975-1993,1
"Representative Austria, Steve",https://www.congress.gov/member/steve-austria/A000365,Ohio,Republican,House: 2009-2013,7
"Representative Axne, Cynthia",https://www.congress.gov/member/cynthia-axne/A000378,Iowa,Democratic,House: 2019-Present,3
"Senator Ayotte, Kelly",https://www.congress.gov/member/kelly-ayotte/A000368,New Hampshire,Republican,Senate: 2011-2017,
"Representative Babin, Brian",https://www.congress.gov/member/brian-babin/B001291,Texas,Republican,House: 2015-Present,36
"Representative Baca, Joe",https://www.congress.gov/member/joe-baca/B001234,California,Democratic,House: 1999-2013,43
"Representative Bacchus, Jim",https://www.congress.gov/member/jim-bacchus/B000008,Florida,Democratic,House: 1991-1995,15
"Representative Bachmann, Michele",https://www.congress.gov/member/michele-bachmann/B001256,Minnesota,Republican,House: 2007-2015,6
"Representative Bachus, Spencer",https://www.congress.gov/member/spencer-bachus/B000013,Alabama,Republican,House: 1993-2015,6
"Representative Bacon, Don",https://www.congress.gov/member/don-bacon/B001298,Nebraska,Republican,House: 2017-Present,2
"Representative Badham, Robert E.",https://www.congress.gov/member/robert-badham/B000024,California,Republican,House: 1977-1989,40
"Representative Badillo, Herman",https://www.congress.gov/member/herman-badillo/B000025,New York,Democratic,House: 1971-1979,21
"Representative Baesler, Scotty",https://www.congress.gov/member/scotty-baesler/B000028,Kentucky,Democratic,House: 1993-1999,6
"Representative Bafalis, L. A. (Skip)",https://www.congress.gov/member/l-bafalis/B000029,Florida,Republican,House: 1973-1983,10
"Representative Bailey, Donald A.",https://www.congress.gov/member/donald-bailey/B000037,Pennsylvania,Democratic,House: 1979-1983,21
