name,city,state,url
Alabama Mineral & Lapidary Society,Birmingham,Alabama,http://www.lapidaryclub.com/
Dothan Gem & Mineral Club,Dothan,Alabama,http://www.wiregrassrockhounds.com/
Huntsville Gem and Mineral Society,Huntsville,Alabama,http://huntsvillegms.org/
Mobile Rock & Gem Society,Mobile,Alabama,http://www.mobilerockandgem.com/
Montgomery Gem & Mineral Society,Montgomery,Alabama,http://montgomerygemandmineralsociety.com/mgms/
Chugach Gem & Mineral Society,Anchorage,Alaska,http://www.chugachgemandmineralsociety.com/
Mat-Su Rock and Mineral Club,Palmer,Alaska,http://matsurockclub.com/
Apache Junction Rock and Gem Club,Apache Junction,Arizona,http://www.ajrockclub.com/
Black Canyon City Rock Club,Black Canyon City,Arizona,http://www.bccrockclub.mysite.com/
Daisy Mountain Rock & Mineral Club,Anthem,Arizona,http://www.dmrmc.com/
Gila County Gem & Mineral Society,Miami,Arizona,http://gilagem.org/
Huachuca Mineral and Gem Club,Sierra Vista,Arizona,http://www.huachucamineralandgemclub.info/
Lake Havasu Gem & Mineral Society,Lake Havasu City,Arizona,http://www.lakehavasugms.org/
Mineralogical Society of Arizona,Scottsdale,Arizona,http://www.msaaz.org/
Mingus Gem & Mineral Club,Cottonwood,Arizona,http://www.mingusclub.org/
Mohave County Gemstoners,Kingman,Arizona,http://www.gemstoners.org/
Old Pueblo Lapidary Club,Tucson,Arizona,http://www.lapidaryclub.org/
Pinal Gem and Mineral Society,Coolidge,Arizona,https://www.pinalgeologymuseum.org/index.php/pinal-gem-mineral-society/about-pgms
Prescott Gem & Mineral Club,Prescott Valley,Arizona,http://www.prescottgemmineral.org/
Quartzsite Roadrunners Gem & Mineral Club,Quartzsite,Arizona,http://www.qrgmc.org/
Rockhounds West,Phoenix,Arizona,http://rockhounds.scwclubs.com/
Sedona Gem & Mineral Club,Sedona,Arizona,http://www.sedonagemandmineral.org/
Silvery Colorado River Rock Club,Bullhead City,Arizona,http://scrrc.blogspot.com/
Sunsites Gem and Mineral Club,Pearce,Arizona,https://sites.google.com/site/cochisecountyrock/
Tucson Gem and Mineral Society,Tucson,Arizona,http://www.tgms.org/
Verde River Rockhounds,Cottonwood,Arizona,http://www.verderiverrockhounds.com/
West Valley Rock & Mineral Club,Buckeye,Arizona,http://www.westvalleyrockandmineralclub.com/
White Mountain Gem & Mineral Club,Show Low,Arizona,http://whitemountain-azrockclub.org/
Wickenburg Gem and Mineral Society,Wickenburg,Arizona,http://www.wickenburggms.org/
"Central Arkansas Gem, Mineral and Geology Society",Little Rock,Arkansas,http://www.centralarrockhound.org/
Northwest Arkansas Gem & Mineral Society,Siloam Springs,Arkansas,http://www.nwarockhounds.org/
"Ozark Earth Science Gem, Mineral & Fossil Club",Mountain Home,Arkansas,https://www.ozarkearthscience.com/
Amador County Gem & Mineral Society,Sutter Creek,California,http://www.amadorgemandmineral.org/
American Opal Society,Anaheim,California,http://www.opalsociety.org/
Antelope Valley Gem and Mineral Club,Lancaster,California,http://avgem.weebly.com/
Antioch Lapidary Club,Antioch,California,http://www.antiochlapidaryclub.com/
Borrego Rock and Gem Club,Borrego Springs,California,http://www.abdnha.org/bragclub.html
Calaveras Gem & Mineral Society,Angels Camp,California,http://www.calaverasgemandmineral.org/
Carmel Valley Gem and Mineral Society,Pacific Grove,California,http://www.cvgms.rocks/
Central Coast Treasure Hunters Association,San Luis Obispo,California,http://www.cctha.org/
Coalinga Rockhound Society,Coalinga,California,https://sites.google.com/site/coalingarockhounds/
Conejo Gem & Mineral Club,Thousand Oaks,California,http://www.cgamc.org/
Contra Costa Mineral & Gem Society,Concord,California,http://www.ccmgs.org/
The Culver City Rock and Mineral Club,Culver City,California,http://culvercityrocks.org/
Del Air Rockhounds Club,Northridge,California,http://delairrockhounds.blogspot.com/
Delvers Gem & Mineral Society,Bellflower,California,https://delversgemclub.wordpress.com/
El Cajon Valley Gem & Mineral Society,El Cajon,California,http://www.ecvgms.org/
El Dorado County Mineral and Gem Society,Placerville,California,http://www.eldoradomineralandgem.org/
Faceters Guild of Southern California,Buena Park,California,http://www.fgosc.com/
